Rad_kpc,Vobs_km/s,errV_km/s,Vgas_km/s,Vdisk_km/s,Vbul_km/s,SBdisk_L/pc^2,SBbul_L/pc^2,galaxy,Inc_deg,e_Inc_deg,D_Mpc,e_D_Mpc,log_Mstar,upsilon_disk,upsilon_bulge,c_dm,d_kpc,gamma_true,z_Mstar
1.37,44.00984812501546,2.3827921833243355,8.81,31.98,0.0,17.64,0.0,UGC07603,78.0,3.0,4.7,1.41,-0.7258421507363202,0.5322264333097921,0.7257267790392219,10395.544343714915,2.097856555328954,0.7727865024678697,-1.3639325123393484
1.71,50.88377919829944,2.6064509847543857,15.21,31.44,0.0,8.3,0.0,UGC07603,78.0,3.0,4.7,1.41,-0.7258421507363202,0.5322264333097921,0.7257267790392219,10395.544343714915,2.097856555328954,0.7727865024678697,-1.3639325123393484
2.05,51.99849499875789,2.7336722735805465,17.87,29.65,0.0,4.37,0.0,UGC07603,78.0,3.0,4.7,1.41,-0.7258421507363202,0.5322264333097921,0.7257267790392219,10395.544343714915,2.097856555328954,0.7727865024678697,-1.3639325123393484
2.39,53.442988293613425,2.7847707280876532,17.46,27.89,0.0,2.3,0.0,UGC07603,78.0,3.0,4.7,1.41,-0.7258421507363202,0.5322264333097921,0.7257267790392219,10395.544343714915,2.097856555328954,0.7727865024678697,-1.3639325123393484
2.74,58.96585069482974,2.7997784780823123,15.96,26.14,0.0,1.18,0.0,UGC07603,78.0,3.0,4.7,1.41,-0.7258421507363202,0.5322264333097921,0.7257267790392219,10395.544343714915,2.097856555328954,0.7727865024678697,-1.3639325123393484
3.08,54.02888749135918,2.8151092930159303,15.55,24.58,0.0,0.62,0.0,UGC07603,78.0,3.0,4.7,1.41,-0.7258421507363202,0.5322264333097921,0.7257267790392219,10395.544343714915,2.097856555328954,0.7727865024678697,-1.3639325123393484
3.42,56.62069102709336,2.835645552754506,16.29,23.19,0.0,0.33,0.0,UGC07603,78.0,3.0,4.7,1.41,-0.7258421507363202,0.5322264333097921,0.7257267790392219,10395.544343714915,2.097856555328954,0.7727865024678697,-1.3639325123393484
3.76,59.47340447634868,2.84774440881479,16.96,21.99,0.0,0.17,0.0,UGC07603,78.0,3.0,4.7,1.41,-0.7258421507363202,0.5322264333097921,0.7257267790392219,10395.544343714915,2.097856555328954,0.7727865024678697,-1.3639325123393484
4.11,55.27764491848903,2.846956498140252,17.21,20.84,0.0,0.0,0.0,UGC07603,78.0,3.0,4.7,1.41,-0.7258421507363202,0.5322264333097921,0.7257267790392219,10395.544343714915,2.097856555328954,0.7727865024678697,-1.3639325123393484
0.71,22.765892439328667,1.1339775563473014,0.75,14.22,0.0,33.37,0.0,UGC12632,46.0,3.0,9.77,2.93,-0.18675269910239498,0.4873038127357078,0.7180330825768375,18562.29733408519,5.402836982209762,0.6739642340504571,-0.8698211702522854
1.42,37.16631596666697,1.7400919157763484,2.55,19.97,0.0,21.72,0.0,UGC12632,46.0,3.0,9.77,2.93,-0.18675269910239498,0.4873038127357078,0.7180330825768375,18562.29733408519,5.402836982209762,0.6739642340504571,-0.8698211702522854
2.14,41.19076092147928,2.2322161098102433,7.39,23.97,0.0,15.26,0.0,UGC12632,46.0,3.0,9.77,2.93,-0.18675269910239498,0.4873038127357078,0.7180330825768375,18562.29733408519,5.402836982209762,0.6739642340504571,-0.8698211702522854
2.85,54.56227749282617,2.615718706007456,10.7,26.52,0.0,10.49,0.0,UGC12632,46.0,3.0,9.77,2.93,-0.18675269910239498,0.4873038127357078,0.7180330825768375,18562.29733408519,5.402836982209762,0.6739642340504571,-0.8698211702522854
3.55,58.196793535396004,2.8925776374861063,12.26,27.06,0.0,8.02,0.0,UGC12632,46.0,3.0,9.77,2.93,-0.18675269910239498,0.4873038127357078,0.7180330825768375,18562.29733408519,5.402836982209762,0.6739642340504571,-0.8698211702522854
4.26,60.267120097596006,3.113207527871878,12.02,28.45,0.0,6.75,0.0,UGC12632,46.0,3.0,9.77,2.93,-0.18675269910239498,0.4873038127357078,0.7180330825768375,18562.29733408519,5.402836982209762,0.6739642340504571,-0.8698211702522854
4.97,72.78731805740888,3.3084518151775537,14.16,29.24,0.0,4.61,0.0,UGC12632,46.0,3.0,9.77,2.93,-0.18675269910239498,0.4873038127357078,0.7180330825768375,18562.29733408519,5.402836982209762,0.6739642340504571,-0.8698211702522854
5.69,71.84474314042208,3.460352781282508,15.95,29.3,0.0,4.19,0.0,UGC12632,46.0,3.0,9.77,2.93,-0.18675269910239498,0.4873038127357078,0.7180330825768375,18562.29733408519,5.402836982209762,0.6739642340504571,-0.8698211702522854
6.4,67.83564680248591,3.6081426095676705,18.56,30.76,0.0,2.51,0.0,UGC12632,46.0,3.0,9.77,2.93,-0.18675269910239498,0.4873038127357078,0.7180330825768375,18562.29733408519,5.402836982209762,0.6739642340504571,-0.8698211702522854
7.11,74.86413785483727,3.7293121787681986,22.61,29.42,0.0,1.98,0.0,UGC12632,46.0,3.0,9.77,2.93,-0.18675269910239498,0.4873038127357078,0.7180330825768375,18562.29733408519,5.402836982209762,0.6739642340504571,-0.8698211702522854
7.82,79.06447267181696,3.842429189122973,26.3,28.8,0.0,1.14,0.0,UGC12632,46.0,3.0,9.77,2.93,-0.18675269910239498,0.4873038127357078,0.7180330825768375,18562.29733408519,5.402836982209762,0.6739642340504571,-0.8698211702522854
8.52,77.53561916538145,3.913723005620833,28.44,27.59,0.0,1.1,0.0,UGC12632,46.0,3.0,9.77,2.93,-0.18675269910239498,0.4873038127357078,0.7180330825768375,18562.29733408519,5.402836982209762,0.6739642340504571,-0.8698211702522854
9.25,81.92249379777483,3.960878461466356,29.27,27.31,0.0,0.81,0.0,UGC12632,46.0,3.0,9.77,2.93,-0.18675269910239498,0.4873038127357078,0.7180330825768375,18562.29733408519,5.402836982209762,0.6739642340504571,-0.8698211702522854
9.95,79.89241545815565,4.00795067983346,30.7,26.87,0.0,0.61,0.0,UGC12632,46.0,3.0,9.77,2.93,-0.18675269910239498,0.4873038127357078,0.7180330825768375,18562.29733408519,5.402836982209762,0.6739642340504571,-0.8698211702522854
10.66,83.44077876507463,4.037343556245966,31.41,26.73,0.0,0.0,0.0,UGC12632,46.0,3.0,9.77,2.93,-0.18675269910239498,0.4873038127357078,0.7180330825768375,18562.29733408519,5.402836982209762,0.6739642340504571,-0.8698211702522854
0.76,230.42936317768104,11.448615801693231,2.44,95.41,277.3,2166.2,3616.11,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
2.28,231.38232996844584,12.299193244249516,5.15,214.07,218.08,1233.88,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
3.8,231.058959626751,11.897561808855512,8.48,237.47,168.95,307.23,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
5.33,215.47123759090002,10.880295386432067,16.65,222.81,142.66,137.83,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
6.85,209.1365292739181,10.007124371270244,22.4,206.17,125.84,63.77,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
8.0,197.59246878937319,9.3445445368092,24.58,191.74,116.44,46.48,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
10.28,161.66571425747895,8.656116233365625,28.49,177.55,102.72,37.35,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
12.56,157.61413008307707,8.206779227268349,30.21,168.02,92.93,20.51,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
14.91,160.73202480374334,7.784800534690048,36.41,156.39,85.29,11.48,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
17.15,134.83771921128053,7.487831101970149,41.69,147.04,79.53,8.58,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
19.39,142.59851736376126,7.298958755235837,45.72,140.32,74.79,7.31,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
21.64,144.92452091957574,7.281646496049639,51.92,136.88,70.8,5.24,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
24.01,152.64162430591415,7.180764771959382,56.74,130.88,67.21,2.49,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
26.25,145.0243023278222,7.009593075991012,58.35,124.11,64.28,1.28,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
28.5,134.00579789804715,6.811734441108378,56.74,118.34,61.69,0.89,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
30.87,129.75417367813424,6.609514061648632,53.3,113.45,59.28,0.64,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
33.12,127.58841533813819,6.4602368441399225,51.34,109.2,57.23,0.4,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
35.36,135.8522856028623,6.3118033792349655,48.7,105.32,55.39,0.26,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
37.73,121.06207092029787,6.185480543740908,46.75,101.61,53.62,0.16,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
39.98,119.839415693449,6.084355760690229,45.26,98.44,52.09,0.11,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
42.22,122.05811815739474,5.997178921751575,43.99,95.58,50.69,0.07,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
44.59,117.59108315088345,5.9152736692362655,42.84,92.77,49.32,0.0,0.0,NGC5033,66.0,1.0,15.7,4.7,1.7423676533179624,0.6963414756637019,0.5991448282844059,14612.100585248596,26.995395647285044,0.32033080883954346,0.8983459558022825
0.32,149.14454624865888,7.0463784318845315,-3.24,26.79,189.88,1402.59,19827.42,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
0.63,224.90637360557534,10.889721097944282,-2.41,50.47,292.13,1303.47,10165.91,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
0.95,240.87196380272772,12.058154561003128,-0.21,72.14,320.6,1208.5,5354.8,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
1.26,256.74183951715816,12.421961798949425,2.45,90.82,326.59,1123.1,3300.36,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
1.58,246.99094170248367,12.563036768863661,3.54,108.12,325.9,1041.27,2103.94,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
1.89,263.97971079654894,12.539337181532762,4.4,123.29,320.4,967.69,1429.43,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
2.21,249.4061510800504,12.47367517229707,5.23,137.43,313.32,897.18,1006.49,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
2.52,254.877146825248,12.382665902015045,6.01,149.84,305.5,833.78,748.35,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
2.84,229.80897288058878,12.283268030588683,6.75,161.33,297.22,773.03,612.35,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
3.15,249.0237290753438,12.23903499131647,7.48,171.56,290.7,718.39,534.72,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
3.47,224.9226549841795,12.282938081321214,8.19,181.11,286.88,666.05,422.4,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
3.79,221.55131441414045,12.33261180987428,8.9,189.8,283.42,617.52,288.59,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
4.1,243.2542837753355,12.350739925260235,9.6,197.34,279.37,573.89,189.15,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
4.42,235.46629903549544,12.328031758098005,10.25,204.41,274.03,532.06,95.7,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
4.73,247.21755755180286,12.260310963100252,10.97,210.6,267.5,487.58,49.26,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
5.05,270.35876910393483,12.153820050430589,11.69,215.35,260.4,441.24,24.96,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
5.36,230.66445084277913,12.033656077999591,12.31,218.91,253.49,408.32,12.96,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
5.68,230.82429163781956,11.91286228276708,13.02,222.04,246.69,380.67,6.52,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
5.99,238.59300794931056,11.808376045645952,13.74,224.98,240.45,359.58,3.4,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
6.31,240.16338925650078,11.71928138831305,14.46,228.22,234.35,341.54,1.71,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
6.62,231.2152304538983,11.663638350472636,15.07,231.93,228.92,326.7,0.89,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
6.94,230.112374039633,11.625318990936782,15.79,235.94,223.68,306.23,0.45,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
7.57,239.09086371388,11.54890914342843,17.23,242.45,214.14,257.47,0.12,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
7.89,235.57129576411896,11.480134313029989,17.95,243.91,209.75,227.66,0.06,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
8.2,216.01543568290109,11.389420204480203,18.77,244.06,205.73,209.07,0.03,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
8.31,226.2806035065303,11.359001210024951,18.97,244.14,204.35,204.24,0.02,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
8.52,226.5877527162732,11.309433921651646,19.59,244.43,201.86,197.13,0.02,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
8.83,213.153119572637,11.250848304750168,20.3,245.34,198.26,187.41,0.01,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
9.15,226.66589673082805,11.187941602324145,21.12,245.9,194.78,171.33,0.0,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
9.78,211.14927552085283,11.030654865510842,22.56,245.25,188.37,138.98,0.0,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
10.1,229.24993317126777,10.931203698905124,23.18,244.0,185.3,127.27,0.0,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
11.04,214.77254197107465,10.636123630764132,25.23,239.18,177.32,102.81,0.0,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
11.36,211.79170453385646,10.542509502948068,25.74,237.64,174.8,97.25,0.0,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
11.67,202.98639769556058,10.458379835153842,26.35,236.26,172.47,92.94,0.0,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
13.57,199.7783031240408,10.04850774288289,29.02,230.28,159.94,69.68,0.0,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
13.88,179.65412893148994,9.979535443426489,29.38,229.01,158.15,65.64,0.0,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
14.2,187.16367521948456,9.919323602282113,29.84,228.03,156.35,61.84,0.0,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
16.61,193.10699304970066,9.483303652833037,32.61,219.86,144.57,45.35,0.0,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
19.35,162.7851881685318,9.108681354733914,35.69,212.46,133.94,26.39,0.0,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
22.19,181.44838344806627,8.703976153295859,39.89,201.82,125.08,19.6,0.0,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
24.92,154.17055353296004,8.445895056088725,44.61,194.49,118.03,14.04,0.0,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
27.66,170.66751795794826,8.222270465855797,49.22,187.22,112.03,9.81,0.0,UGC09133,53.0,6.0,57.1,11.4,2.1506428639092343,0.47779497896513207,0.5416158007626919,9406.279423153057,45.62011921691397,0.2454885311304552,1.2725573443477238
